id,word-1,word-2,word-3,word-4,word-5,word-6,word-7,word-8,word-9,word-10,word-11,word-12,word-13,word-14,word-15,word-16,word-17,word-18,word-19,word-20,word-21,word-22,word-23,word-24,word-25,word-26,word-27,word-28,word-29,word-30,word-31,word-32,word-33,word-34,word-35,word-36,word-37,word-38,word-39,word-40,Result
1,5,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,117,1,4,3,,5,2,9,19,6,1,2,3,9,15,4,10,9,79,1,0,19,17,5,25,0,8,2,,2,1,3,13,9,15,3,,13,3,1,0
3,30,1,1,5,8,3,2,2,2,1,1,1,0,1,7,1,1,1,17,1,1,7,1,0,11,2,1,1,2,0,0,1,5,1,1,1,0,0,0,0,0
4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0
5,263,6,8,8,,26,1,21,35,10,5,9,4,14,42,13,15,6,,20,4,86,19,25,18,5,14,24,56,20,6,10,,5,49,26,24,23,4,24,1
6,16,1,0,0,2,0,0,4,2,1,0,0,0,0,1,0,0,0,12,0,0,3,0,1,1,1,1,0,2,0,0,0,0,0,5,0,1,0,0,0,0
7,13,0,0,4,3,0,0,0,1,1,0,0,0,1,1,0,2,0,11,2,0,2,0,1,0,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0
8,30,1,0,0,9,4,0,0,2,0,0,1,,,5,2,2,0,25,0,2,2,0,1,2,0,0,0,1,0,0,1,3,0,1,0,0,0,0,3,1
9,23,,0,0,0,0,0,0,5,2,1,0,0,0,4,0,0,0,22,0,2,6,2,2,2,1,1,1,,1,0,0,2,0,3,1,1,,1,1,1
10,13,1,0,0,5,2,0,0,3,1,2,0,0,0,3,1,0,0,10,0,1,2,1,3,3,0,1,1,3,0,1,0,1,0,4,0,1,2,1,2,1
11,32,1,1,1,9,3,2,2,1,0,0,0,3,3,1,0,1,0,30,0,1,14,0,4,2,0,0,2,4,5,1,1,0,0,3,1,6,0,3,5,1
12,32,0,2,0,9,0,0,2,4,6,2,0,0,3,6,0,1,1,28,1,0,7,4,2,1,0,0,3,11,0,1,0,6,1,3,1,2,0,1,0,0
13,16,0,0,4,5,1,0,3,2,1,0,0,1,2,3,0,2,0,8,2,0,0,0,1,0,0,1,0,6,0,0,0,3,0,4,0,0,0,4,0,0
14,25,0,1,0,1,0,1,3,2,2,4,0,1,0,4,2,1,1,9,0,0,0,1,1,5,0,3,1,2,0,0,0,4,1,3,1,0,2,1,3,0
15,74,0,1,4,15,6,2,6,10,8,2,0,0,2,15,0,7,5,55,3,2,9,10,8,15,0,3,2,17,0,0,4,10,5,9,3,2,1,1,7,0
16,20,1,0,0,4,2,0,3,2,1,2,0,0,3,4,0,1,1,6,0,0,1,1,1,2,0,1,0,3,0,0,1,3,1,1,0,0,0,2,0,0
17,15,1,0,3,3,1,1,2,1,2,1,0,0,2,5,2,1,0,7,0,1,0,1,0,3,0,1,0,0,2,0,0,3,0,1,0,3,0,1,2,0
18,78,2,5,2,14,4,4,3,5,8,6,2,0,5,21,2,9,5,74,0,0,13,13,8,8,0,3,3,15,0,1,4,10,2,10,0,2,6,6,4,0
19,109,3,4,3,26,4,5,8,16,5,5,1,1,3,16,3,6,2,84,4,2,15,11,10,11,6,2,12,23,3,3,3,12,2,6,2,8,1,3,5,0
20,115,7,2,2,10,4,12,5,10,7,1,10,3,4,9,1,5,0,114,0,0,16,,20,7,0,7,30,20,8,15,23,8,0,11,1,10,8,2,12,1
21,40,2,0,0,4,3,2,3,5,2,1,4,0,4,4,0,4,4,,1,0,6,10,2,4,0,3,6,8,1,2,1,4,4,4,2,1,2,1,1,1
22,46,3,1,3,7,3,0,1,4,2,0,7,0,5,4,0,5,3,46,0,0,11,6,7,3,1,2,6,9,2,3,1,2,3,3,1,3,1,2,2,1
23,26,3,0,1,3,0,1,4,0,1,2,0,4,1,5,0,2,0,12,0,0,2,0,1,6,0,0,0,4,1,0,2,1,0,3,2,3,1,0,0,0
24,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
25,60,2,3,3,9,6,2,10,6,4,1,1,5,6,27,3,0,0,66,4,0,18,7,7,-9,1,4,2,5,3,2,2,21,0,6,1,4,3,4,0,0
26,52,0,0,1,3,1,0,1,4,1,1,1,2,2,,1,1,0,,1,0,2,1,3,1,0,2,4,1,0,0,0,0,0,4,1,0,1,1,0,1
27,45,1,0,1,5,1,0,7,6,2,7,1,2,1,8,2,1,1,42,1,0,10,2,4,4,0,3,0,11,0,1,0,5,1,3,5,2,1,2,1,0
28,23,0,0,0,,2,2,1,7,0,1,0,2,4,5,0,2,1,22,1,1,4,1,0,4,0,1,0,3,1,0,1,5,1,3,0,2,2,0,0,0
29,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,17,0,0,0,3,1,1,3,0,2,0,0,4,0,3,0,1,0,23,1,1,4,3,2,0,0,1,0,1,0,0,0,3,0,3,0,1,0,2,2,1
31,23,1,1,1,2,2,1,1,0,0,1,0,0,0,2,1,1,0,21,1,0,,1,0,0,0,1,1,4,2,1,0,2,0,2,0,2,2,1,0,1
32,9,0,0,0,2,1,0,1,2,1,1,0,0,2,1,0,0,0,7,0,1,3,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0
33,14,0,0,-1,0,0,0,0,3,1,,1,0,0,1,0,0,0,11,0,0,6,2,0,1,0,1,0,4,0,0,0,0,0,2,0,0,1,0,0,0
34,142,9,7,7,26,14,4,8,23,15,2,4,0,7,13,3,7,6,100,4,2,24,12,10,5,1,5,14,24,15,7,6,9,6,11,6,21,,3,16,1
35,26,0,1,0,8,4,0,5,1,1,0,2,1,1,1,0,0,0,30,3,0,8,1,3,3,2,0,1,8,1,1,1,0,0,4,0,1,2,1,1,1
36,25,2,1,2,1,0,0,5,8,0,1,,2,1,8,1,1,1,31,0,2,4,4,3,6,,3,3,9,2,0,2,7,1,2,0,3,1,0,3,0
37,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,89,7,1,0,10,4,5,5,9,5,3,6,5,7,20,2,4,3,76,7,3,25,9,15,13,7,20,12,13,7,0,5,20,3,14,14,9,2,,19,0
