"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"96973099999","2020-01-01","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  79.1"," 8","  76.2"," 8","1011.9"," 8","011.5"," 8","  5.2"," 8","  3.1"," 8"," 11.1","999.9","  85.3"," ","  75.2"," "," 0.52","C","999.9","010010"
"96973099999","2020-01-02","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  83.9"," 8","  76.9"," 8","1011.1"," 8","010.7"," 8","  6.2"," 8","  6.5"," 8"," 15.9","999.9","  91.0"," ","  75.6"," "," 0.00","I","999.9","000000"
"96973099999","2020-01-03","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  83.2"," 8","  76.9"," 8","1008.5"," 8","008.2"," 8","  5.7"," 8"," 10.6"," 8"," 22.9","999.9","  89.6"," ","  78.4"," ","99.99"," ","999.9","010010"
"96973099999","2020-01-04","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  83.3"," 8","  76.8"," 8","1006.9"," 8","006.5"," 8","  5.2"," 8"," 11.1"," 8"," 15.9","999.9","  88.9"," ","  79.2"," "," 0.00","H","999.9","010000"
"96973099999","2020-01-05","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  80.8"," 8","  76.2"," 8","1007.8"," 8","007.6"," 8","  5.0"," 8","  8.2"," 8"," 19.0","999.9","  90.7"," ","  75.2","*"," 2.56","B","999.9","010010"
"96973099999","2020-01-06","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  80.8"," 8","  76.6"," 8","1008.6"," 8","008.3"," 8","  5.7"," 8","  7.4"," 8"," 17.1","999.9","  91.0"," ","  74.5"," "," 2.32","C","999.9","010010"
"96973099999","2020-01-07","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  82.2"," 8","  77.0"," 8","1008.0"," 8","007.7"," 8","  5.8"," 8","  8.7"," 8"," 21.0","999.9","  90.0"," ","  75.6"," "," 1.22","A","999.9","010010"
"96973099999","2020-01-08","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  82.3"," 8","  77.0"," 8","1008.0"," 8","007.7"," 8","  5.9"," 8","  8.5"," 8"," 21.0","999.9","  87.8","*","  77.4"," "," 0.00","I","999.9","000010"
"96973099999","2020-01-09","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  82.9"," 8","  76.9"," 8","1007.6"," 8","007.3"," 8","  5.7"," 8","  4.5"," 8","  8.9","999.9","  88.9"," ","  78.8"," "," 0.02","B","999.9","010010"
"96973099999","2020-01-10","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  82.0"," 8","  76.6"," 8","1007.8"," 8","007.5"," 8","  5.4"," 8","  6.0"," 8"," 19.0","999.9","  88.2"," ","  78.3","*"," 0.08","C","999.9","010010"
"96973099999","2020-01-11","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  81.5"," 8","  75.1"," 8","1008.1"," 8","007.8"," 8","  5.2"," 8","  7.1"," 8"," 19.0","999.9","  89.2"," ","  77.7"," "," 0.00","A","999.9","010010"
"96973099999","2020-01-12","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  83.9"," 8","  76.3"," 8","1006.7"," 8","006.3"," 8","  5.9"," 8","  7.4"," 8"," 15.0","999.9","  90.3"," ","  77.7"," "," 0.00","I","999.9","000000"
"96973099999","2020-01-13","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  84.3"," 7","  77.2"," 7","1007.2"," 7","006.8"," 7","  5.8"," 7"," 10.0"," 7"," 20.0","999.9","  90.3"," ","  78.8"," "," 0.00","I","999.9","000000"
"96973099999","2020-01-14","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  84.7"," 8","  77.0"," 8","1008.7"," 8","008.4"," 8","  5.8"," 8","  8.3"," 8"," 22.0","999.9","  92.1"," ","  79.2","*"," 0.00","I","999.9","000010"
"96973099999","2020-01-15","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  83.8"," 8","  78.1"," 8","1009.8"," 8","009.5"," 8","  5.6"," 8","  3.5"," 8"," 12.0","999.9","  89.2"," ","  78.4"," "," 0.00","I","999.9","000010"
"96973099999","2020-01-16","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  85.3"," 8","  77.5"," 8","1010.2"," 8","009.8"," 8","  5.9"," 8","  4.1"," 8"," 11.1","999.9","  92.5"," ","  79.2"," "," 0.00","I","999.9","000000"
"96973099999","2020-01-17","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  84.4"," 8","  77.4"," 8","1010.1"," 8","009.8"," 8","  5.7"," 8","  3.3"," 8"," 11.1","999.9","  92.1"," ","  78.4","*"," 0.00","I","999.9","000000"
"96973099999","2020-01-18","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  82.7"," 8","  77.3"," 8","1010.3"," 8","010.0"," 8","  5.3"," 8","  2.6"," 8","  8.9","999.9","  90.3"," ","  78.1"," "," 0.39","B","999.9","010010"
"96973099999","2020-01-19","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  82.2"," 8","  78.0"," 8","1010.3"," 8","010.0"," 8","  5.6"," 8","  1.4"," 8","  8.0","999.9","  89.6"," ","  78.1","*"," 0.20","B","999.9","010000"
"96973099999","2020-01-20","-7.05","113.9666666","3.0","KALIANGET MADURA IS, ID","  82.4"," 8","  78.7"," 8","1011.3"," 8","011.0"," 8","  5.4"," 8","  1.4"," 8","  8.0","999.9","  87.4"," ","  77.7"," "," 0.32","B","999.9","000010"
